layer,sv_norm,fisher_discriminability,mean_proj_allc,mean_proj_alld,cosine_to_primary
34,18.43397331237793,16.65089988708496,0.699792206287384,-17.734176635742188,0.043646782636642456
35,20.411096572875977,23.18638038635254,2.429767608642578,-17.981327056884766,0.04081923887133598
36,23.62488555908203,33.39116287231445,13.303407669067383,-10.321476936340332,0.05093001574277878
37,25.589962005615234,31.642250061035156,20.763948440551758,-4.826014041900635,0.04330144077539444
38,28.607704162597656,26.708589553833008,21.702178955078125,-6.90552282333374,0.02274910733103752
39,34.534324645996094,29.22606086730957,32.94157409667969,-1.5927503108978271,0.02196386456489563
40,42.048622131347656,44.470237731933594,28.456069946289062,-13.592547416687012,0.027513250708580017
41,51.052242279052734,34.57326126098633,50.42496109008789,-0.6272873282432556,0.02219175547361374
42,62.62198257446289,41.25104904174805,68.83882904052734,6.216847896575928,0.044915538281202316
43,65.41991424560547,46.6295051574707,50.14347457885742,-15.276445388793945,0.050674453377723694
44,70.06388854980469,53.39915084838867,31.9263916015625,-38.13749694824219,0.06707760691642761
45,84.33112335205078,61.85009765625,44.16850662231445,-40.1626091003418,0.0967337116599083
46,90.61261749267578,66.6266098022461,50.75497817993164,-39.857643127441406,0.11830438673496246
47,91.29022216796875,68.95140838623047,42.25973129272461,-49.030494689941406,0.14068809151649475
48,95.72146606445312,77.14301300048828,49.299110412597656,-46.42237091064453,0.16871823370456696
49,106.31721496582031,110.2466049194336,47.76628875732422,-58.550926208496094,0.19451089203357697
50,111.28374481201172,105.5375747680664,50.21470260620117,-61.069053649902344,0.20665310323238373
51,112.50653839111328,87.4567642211914,46.97473907470703,-65.53179931640625,0.23694507777690887
52,123.19174194335938,103.78601837158203,36.8974609375,-86.29429626464844,0.3057016432285309
53,146.71292114257812,157.557861328125,67.43595886230469,-79.2769546508789,0.3881860077381134
54,162.75372314453125,189.23812866210938,72.17430114746094,-90.57942199707031,0.4065415561199188
55,166.83743286132812,156.62730407714844,55.935752868652344,-110.90168762207031,0.42148420214653015
56,193.4070587158203,223.52503967285156,60.49817657470703,-132.90890502929688,0.4686845541000366
57,210.59762573242188,261.6264953613281,67.20382690429688,-143.393798828125,0.5159577131271362
58,226.38462829589844,241.1138153076172,79.94204711914062,-146.44259643554688,0.5451817512512207
59,236.5395050048828,229.00291442871094,103.05140686035156,-133.4880828857422,0.5665118098258972
60,269.36712646484375,233.3986053466797,66.96113586425781,-202.40594482421875,0.6432771682739258
61,299.8125,214.4566650390625,80.332763671875,-219.479736328125,0.6963870525360107
62,340.5539245605469,204.19879150390625,54.02289581298828,-286.5310363769531,0.7342949509620667
63,383.0732727050781,170.6781768798828,101.0267562866211,-282.0464782714844,0.8710994720458984
64,56.827857971191406,16.5628719329834,63.25889205932617,6.431031703948975,0.9999999403953552
